Universitas Brawijaya
Universitas Jember
Universitas Negeri Malang
Universitas Negeri Surabaya
Universitas Trunojoyo Madura
Universitas Veteran Jawa Timur
Universitas Islam Negeri Maulana Malik Ibrahim
Universitas Islam Negeri Sunan Ampel
Universitas Islam Negeri KH Achmad Siddiq
